ID,MODEL,PRICE,KM,MFG YEAR,FUEL TYPE,VEHICLE COLOR,VEHICLE TYPE,RATING,RATE COUNT
623,CITY VX MT DIESEL,1317000,69000,2017,DIESEL,LUNAR SILVER METALLIC,MANUAL,5,53
624,CITY VX MT DIESEL,1557000,23000,2020,DIESEL,MODERN STEEL METALLIC,MANUAL,4,64
625,CITY VX MT DIESEL,1427000,54000,2019,DIESEL,GOLDEN BROWN METALLIC,MANUAL,3,52
626,CITY ZX CVT,1362000,59000,2018,PETROL,PLATINUM WHITE PEARL,AMT,5,86
627,CITY ZX CVT,1287000,73000,2016,PETROL,REDIANT RED METALLIC,AMT,3,87
628,CITY ZX CVT,1597000,25000,2020,PETROL,LUNAR SILVER METALLIC,AMT,4,84
629,CITY ZX CVT,1467000,66000,2017,PETROL,MODERN STEEL METALLIC,AMT,2,94
630,CITY ZX CVT,1488000,55000,2019,PETROL,GOLDEN BROWN METALLIC,AMT,5,76
631,CITY ZX MT DIESEL,1327000,77000,2016,DIESEL,PLATINUM WHITE PEARL,MANUAL,5,72
632,CITY ZX MT DIESEL,1627000,28000,2020,DIESEL,REDIANT RED METALLIC,MANUAL,5,71
633,CITY ZX MT DIESEL,1577000,51000,2019,DIESEL,LUNAR SILVER METALLIC,MANUAL,4,51
634,CITY ZX MT DIESEL,1377000,70000,2016,DIESEL,MODERN STEEL METALLIC,MANUAL,3,84
635,CITY ZX MT DIESEL,1427000,64000,2017,DIESEL,GOLDEN BROWN METALLIC,MANUAL,2,76
636,AMAZE E PETROL,477000,63000,2017,PETROL,SILVER,MANUAL,5,82
637,AMAZE E PETROL,377000,73000,2015,PETROL,ORCHID WHITE PEARL ,MANUAL,4,94
638,AMAZE E PETROL,427000,67000,2016,PETROL,MODERN STEEL METALLIC,MANUAL,2,76
639,AMAZE E PETROL,538000,44000,2019,PETROL,GOLDEN BROWN METALLIC,MANUAL,3,82
640,AMAZE E PETROL,622000,24000,2020,PETROL,RADIANT RED,MANUAL,5,83
641,AMAZE E PETROL,517000,44000,2018,PETROL,LUNAR SILVER,MANUAL,4,89
642,AMAZE S PETROL,712000,37000,2020,PETROL,SILVER,MANUAL,3,98
643,AMAZE S PETROL,652000,57000,2018,PETROL,ORCHID WHITE PEARL ,MANUAL,5,86
644,AMAZE S PETROL,677000,51000,2019,PETROL,MODERN STEEL METALLIC,MANUAL,3,65
645,AMAZE S PETROL,427000,72000,2015,PETROL,GOLDEN BROWN METALLIC,MANUAL,4,57
646,AMAZE S PETROL,627000,64000,2017,PETROL,RADIANT RED,MANUAL,1,52
647,AMAZE S PETROL,477000,67000,2016,PETROL,LUNAR SILVER,MANUAL,2,68
648,AMAZE SPECIAL EDITION,747000,37000,2020,PETROL,SILVER,MANUAL,4,45
649,AMAZE SPECIAL EDITION,647000,64000,2017,PETROL,ORCHID WHITE PEARL ,MANUAL,2,71
650,AMAZE SPECIAL EDITION,447000,74000,2015,PETROL,MODERN STEEL METALLIC,MANUAL,5,54
651,AMAZE SPECIAL EDITION,712000,50000,2019,PETROL,GOLDEN BROWN METALLIC,MANUAL,3,69
652,AMAZE SPECIAL EDITION,487000,66000,2016,PETROL,RADIANT RED,MANUAL,2,64
653,AMAZE SPECIAL EDITION,667000,54000,2018,PETROL,LUNAR SILVER,MANUAL,4,67
654,AMAZE V PETROL,737000,51000,2019,PETROL,SILVER,MANUAL,3,90
655,AMAZE V PETROL,777000,34000,2020,PETROL,ORCHID WHITE PEARL ,MANUAL,2,74
656,AMAZE V PETROL,668000,70000,2017,PETROL,MODERN STEEL METALLIC,MANUAL,5,55
657,AMAZE V PETROL,512000,74000,2016,PETROL,GOLDEN BROWN METALLIC,MANUAL,3,64
658,AMAZE V PETROL,467000,77000,2015,PETROL,RADIANT RED,MANUAL,2,52
659,AMAZE V PETROL,687000,57000,2018,PETROL,LUNAR SILVER,MANUAL,4,68
660,AMAZE E DIESEL,806000,33000,2020,DIESEL,SILVER,MANUAL,3,45
661,AMAZE E DIESEL,527000,75000,2016,DIESEL,ORCHID WHITE PEARL ,MANUAL,2,71
662,AMAZE E DIESEL,747000,52000,2019,DIESEL,MODERN STEEL METALLIC,MANUAL,5,54
663,AMAZE E DIESEL,677000,69000,2017,DIESEL,GOLDEN BROWN METALLIC,MANUAL,4,69
664,AMAZE E DIESEL,477000,75000,2015,DIESEL,RADIANT RED,MANUAL,2,64
665,AMAZE E DIESEL,712000,58000,2018,DIESEL,LUNAR SILVER,MANUAL,5,67
666,AMAZE S CVT PETROL,847000,35000,2020,PETROL,SILVER,AMT,2,54
667,AMAZE S CVT PETROL,777000,51000,2019,PETROL,ORCHID WHITE PEARL ,AMT,1,77
668,AMAZE S CVT PETROL,817000,74000,2016,PETROL,MODERN STEEL METALLIC,AMT,3,52
669,AMAZE S CVT PETROL,722000,59000,2018,PETROL,GOLDEN BROWN METALLIC,AMT,5,91
670,AMAZE S CVT PETROL,527000,77000,2015,PETROL,RADIANT RED,AMT,4,64
671,AMAZE S CVT PETROL,706000,70000,2017,PETROL,LUNAR SILVER,AMT,3,62
672,AMAZE SPECIAL EDITION CVT,742000,56000,2018,PETROL,SILVER,AMT,5,51
673,AMAZE SPECIAL EDITION CVT,827000,50000,2019,PETROL,ORCHID WHITE PEARL ,AMT,3,59
674,AMAZE SPECIAL EDITION CVT,547000,73000,2015,PETROL,MODERN STEEL METALLIC,AMT,4,58
675,AMAZE SPECIAL EDITION CVT,867000,23000,2020,PETROL,GOLDEN BROWN METALLIC,AMT,2,90
676,AMAZE SPECIAL EDITION CVT,637000,67000,2016,PETROL,RADIANT RED,AMT,5,74
677,AMAZE SPECIAL EDITION CVT,727000,65000,2017,PETROL,LUNAR SILVER,AMT,5,55
678,AMAZE EXCLUSIVE EDITION PETROL,877000,37000,2020,PETROL,SILVER,MANUAL,5,64
679,AMAZE EXCLUSIVE EDITION PETROL,757000,71000,2018,PETROL,ORCHID WHITE PEARL ,MANUAL,4,52
680,AMAZE EXCLUSIVE EDITION PETROL,747000,60000,2019,PETROL,MODERN STEEL METALLIC,MANUAL,3,68
681,AMAZE EXCLUSIVE EDITION PETROL,737000,71000,2017,PETROL,GOLDEN BROWN METALLIC,MANUAL,2,52
682,AMAZE EXCLUSIVE EDITION PETROL,846000,80000,2016,PETROL,RADIANT RED,MANUAL,5,91
683,AMAZE EXCLUSIVE EDITION PETROL,587000,84000,2015,PETROL,LUNAR SILVER,MANUAL,4,64
684,AMAZE VX PETROL,727000,59000,2018,PETROL,SILVER,MANUAL,2,62
685,AMAZE VX PETROL,578000,74000,2016,PETROL,ORCHID WHITE PEARL ,MANUAL,3,51
686,AMAZE VX PETROL,647000,63000,2017,PETROL,MODERN STEEL METALLIC,MANUAL,5,59
687,AMAZE VX PETROL,847000,53000,2019,PETROL,GOLDEN BROWN METALLIC,MANUAL,4,86
688,AMAZE VX PETROL,525000,83000,2015,PETROL,RADIANT RED,MANUAL,3,72
689,AMAZE VX PETROL,857000,35000,2020,PETROL,LUNAR SILVER,MANUAL,5,58
690,AMAZE S DIESEL,647000,70000,2016,DIESEL,SILVER,MANUAL,3,90
691,AMAZE S DIESEL,550000,71000,2015,DIESEL,ORCHID WHITE PEARL ,MANUAL,4,74
692,AMAZE S DIESEL,887000,37000,2020,DIESEL,MODERN STEEL METALLIC,MANUAL,2,55
693,AMAZE S DIESEL,847000,49000,2019,DIESEL,GOLDEN BROWN METALLIC,MANUAL,5,47
694,AMAZE S DIESEL,817000,52000,2018,DIESEL,RADIANT RED,MANUAL,3,65
695,AMAZE S DIESEL,767000,65000,2017,DIESEL,LUNAR SILVER,MANUAL,4,42
696,AMAZE  SPECIAL EDITION DIESEL,877000,46000,2019,DIESEL,SILVER,MANUAL,3,86
697,AMAZE  SPECIAL EDITION DIESEL,596000,74000,2015,DIESEL,ORCHID WHITE PEARL ,MANUAL,5,94
698,AMAZE  SPECIAL EDITION DIESEL,657000,67000,2017,DIESEL,MODERN STEEL METALLIC,MANUAL,2,75
699,AMAZE  SPECIAL EDITION DIESEL,917000,33000,2020,DIESEL,GOLDEN BROWN METALLIC,MANUAL,4,66
700,AMAZE  SPECIAL EDITION DIESEL,787000,54000,2018,DIESEL,RADIANT RED,MANUAL,5,53
701,AMAZE  SPECIAL EDITION DIESEL,617000,69000,2016,DIESEL,LUNAR SILVER,MANUAL,2,64
702,AMAZE V CVT PETROL,627000,61000,2018,PETROL,SILVER,AMT,4,58
703,AMAZE V CVT PETROL,547000,63000,2015,PETROL,ORCHID WHITE PEARL ,AMT,5,64
704,AMAZE V CVT PETROL,882000,45000,2019,PETROL,MODERN STEEL METALLIC,AMT,2,57
705,AMAZE V CVT PETROL,687000,54000,2017,PETROL,GOLDEN BROWN METALLIC,AMT,4,59
706,AMAZE V CVT PETROL,792000,49000,2019,PETROL,RADIANT RED,AMT,5,46
707,AMAZE V CVT PETROL,927000,27000,2020,PETROL,LUNAR SILVER,AMT,3,58
708,AMAZE V DIESEL,677000,66000,2016,DIESEL,SILVER,MANUAL,5,76
709,AMAZE V DIESEL,627000,70000,2015,DIESEL,ORCHID WHITE PEARL ,MANUAL,3,94
710,AMAZE V DIESEL,917000,37000,2020,DIESEL,MODERN STEEL METALLIC,MANUAL,4,53
711,AMAZE V DIESEL,877000,51000,2019,DIESEL,GOLDEN BROWN METALLIC,MANUAL,5,64
712,AMAZE V DIESEL,757000,52000,2017,DIESEL,RADIANT RED,MANUAL,1,51
713,AMAZE V DIESEL,847000,51000,2018,DIESEL,LUNAR SILVER,MANUAL,5,64
714,AMAZE EXCLUSIVE EDITION CVT PETROL,677000,75000,2018,PETROL,SILVER,AMT,2,53
715,AMAZE EXCLUSIVE EDITION CVT PETROL,937000,43000,2019,PETROL,ORCHID WHITE PEARL ,AMT,3,42
716,AMAZE EXCLUSIVE EDITION CVT PETROL,877000,55000,2018,PETROL,MODERN STEEL METALLIC,AMT,4,86
717,AMAZE EXCLUSIVE EDITION CVT PETROL,777000,62000,2017,PETROL,GOLDEN BROWN METALLIC,AMT,5,42
718,AMAZE EXCLUSIVE EDITION CVT PETROL,717000,70000,2016,PETROL,RADIANT RED,AMT,5,59
719,AMAZE EXCLUSIVE EDITION CVT PETROL,957000,29000,2020,PETROL,LUNAR SILVER,AMT,4,43
720,AMAZE VX CVT PETROL,927000,60000,2018,PETROL,SILVER,AMT,3,56
721,AMAZE VX CVT PETROL,957000,49000,2019,PETROL,ORCHID WHITE PEARL ,AMT,2,58
722,AMAZE VX CVT PETROL,977000,36000,2020,PETROL,MODERN STEEL METALLIC,AMT,5,75
723,AMAZE VX CVT PETROL,687000,70000,2015,PETROL,GOLDEN BROWN METALLIC,AMT,4,79
724,AMAZE VX CVT PETROL,787000,62000,2017,PETROL,RADIANT RED,AMT,2,56
725,AMAZE VX CVT PETROL,727000,63000,2016,PETROL,LUNAR SILVER,AMT,3,86
726,AMAZE S CVT DIESEL,705000,73000,2015,DIESEL,SILVER,AMT,5,45
727,AMAZE S CVT DIESEL,937000,51000,2018,DIESEL,ORCHID WHITE PEARL ,AMT,4,78
728,AMAZE S CVT DIESEL,792000,54000,2017,DIESEL,MODERN STEEL METALLIC,AMT,3,64
729,AMAZE S CVT DIESEL,987000,34000,2020,DIESEL,GOLDEN BROWN METALLIC,AMT,5,68
730,AMAZE S CVT DIESEL,747000,67000,2016,DIESEL,RADIANT RED,AMT,3,59
731,AMAZE S CVT DIESEL,966000,45000,2019,DIESEL,LUNAR SILVER,AMT,4,57
732,AMAZE SPECIAL EDITION CVT DIESEL,717000,71000,2015,DIESEL,SILVER,AMT,2,52
733,AMAZE SPECIAL EDITION CVT DIESEL,917000,55000,2018,DIESEL,ORCHID WHITE PEARL ,AMT,5,58
734,AMAZE SPECIAL EDITION CVT DIESEL,847000,64000,2017,DIESEL,MODERN STEEL METALLIC,AMT,3,34
735,AMAZE SPECIAL EDITION CVT DIESEL,757000,67000,2016,DIESEL,GOLDEN BROWN METALLIC,AMT,4,79
736,AMAZE SPECIAL EDITION CVT DIESEL,1033000,25000,2020,DIESEL,RADIANT RED,AMT,3,86
737,AMAZE SPECIAL EDITION CVT DIESEL,947000,47000,2019,DIESEL,LUNAR SILVER,AMT,5,49
738,AMAZE EXCLUSIVE EDITION DIESEL,777000,73000,2016,DIESEL,SILVER,MANUAL,2,75
739,AMAZE EXCLUSIVE EDITION DIESEL,927000,55000,2018,DIESEL,ORCHID WHITE PEARL ,MANUAL,4,46
740,AMAZE EXCLUSIVE EDITION DIESEL,847000,67000,2017,DIESEL,MODERN STEEL METALLIC,MANUAL,5,85
741,AMAZE EXCLUSIVE EDITION DIESEL,1058000,33000,2020,DIESEL,GOLDEN BROWN METALLIC,MANUAL,2,78
742,AMAZE EXCLUSIVE EDITION DIESEL,1057000,39000,2020,DIESEL,RADIANT RED,MANUAL,4,75
743,AMAZE EXCLUSIVE EDITION DIESEL,957000,47000,2019,DIESEL,LUNAR SILVER,MANUAL,5,45
744,AMAZE VX DIESEL,717000,71000,2015,DIESEL,SILVER,MANUAL,2,49
745,AMAZE VX DIESEL,747000,66000,2016,DIESEL,ORCHID WHITE PEARL ,MANUAL,4,68
746,AMAZE VX DIESEL,937000,51000,2019,DIESEL,MODERN STEEL METALLIC,MANUAL,5,65
747,AMAZE VX DIESEL,912000,57000,2018,DIESEL,GOLDEN BROWN METALLIC,MANUAL,3,62
748,AMAZE VX DIESEL,987000,37000,2020,DIESEL,RADIANT RED,MANUAL,5,56
749,AMAZE VX DIESEL,837000,62000,2017,DIESEL,LUNAR SILVER,MANUAL,3,53
750,AMAZE V CVT DIESEL,922000,54000,2018,DIESEL,SILVER,AMT,4,96
751,AMAZE V CVT DIESEL,1047000,27000,2020,DIESEL,ORCHID WHITE PEARL ,AMT,5,67
752,AMAZE V CVT DIESEL,1037000,34000,2020,DIESEL,MODERN STEEL METALLIC,AMT,1,64
753,AMAZE V CVT DIESEL,947000,48000,2019,DIESEL,GOLDEN BROWN METALLIC,AMT,5,59
754,AMAZE V CVT DIESEL,722000,66000,2015,DIESEL,RADIANT RED,AMT,2,53
755,AMAZE V CVT DIESEL,837000,56000,2017,DIESEL,LUNAR SILVER,AMT,3,64
756,AMAZE V CVT DIESEL,767000,61000,2016,DIESEL,SILVER,AMT,4,52
757,AMAZE EXCLUSIVE EDITION CVT DIESEL,1052000,47000,2019,DIESEL,ORCHID WHITE PEARL ,AMT,5,86
758,AMAZE EXCLUSIVE EDITION CVT DIESEL,947000,59000,2018,DIESEL,MODERN STEEL METALLIC,AMT,2,87
759,AMAZE EXCLUSIVE EDITION CVT DIESEL,1087000,33000,2020,DIESEL,GOLDEN BROWN METALLIC,AMT,4,84
760,AMAZE EXCLUSIVE EDITION CVT DIESEL,777000,67000,2017,DIESEL,RADIANT RED,AMT,5,94
761,AMAZE EXCLUSIVE EDITION CVT DIESEL,727000,69000,2016,DIESEL,LUNAR SILVER,AMT,3,76
762,AMAZE VX CVT DIESEL,847000,69000,2017,DIESEL,SILVER,AMT,5,72
763,AMAZE VX CVT DIESEL,927000,26000,2019,DIESEL,ORCHID WHITE PEARL ,AMT,3,71
764,AMAZE VX CVT DIESEL,777000,60000,2016,DIESEL,MODERN STEEL METALLIC,AMT,4,51
765,AMAZE VX CVT DIESEL,727000,76000,2015,DIESEL,GOLDEN BROWN METALLIC,AMT,5,84
766,AMAZE VX CVT DIESEL,1047000,42000,2020,DIESEL,RADIANT RED,AMT,1,76
767,AMAZE VX CVT DIESEL,877000,54000,2018,DIESEL,LUNAR SILVER,AMT,5,82
768,CIVIC V,1847000,51000,2018,PETROL,PLATINUM WHITE PEARL,AMT,2,94
769,CIVIC V,1727000,67000,2016,PETROL,MODERN STEEL METALLIC,AMT,3,76
770,CIVIC V,1777000,64000,2017,PETROL,GOLDEN BROWN METALLIC,AMT,4,82
771,CIVIC V,2017000,53000,2019,PETROL,RADIANT RED METALLIC,AMT,5,83
772,CIVIC V,2127000,33000,2018,PETROL,LUNAR SILVER,AMT,5,79
773,CIVIC VX ,2217000,50000,2019,PETROL,PLATINUM WHITE PEARL,AMT,4,56
774,CIVIC VX ,1965000,77000,2015,PETROL,MODERN STEEL METALLIC,AMT,3,86
775,CIVIC VX ,2147000,54000,2018,PETROL,GOLDEN BROWN METALLIC,AMT,2,45
776,CIVIC VX ,1977000,75000,2016,PETROL,RADIANT RED METALLIC,AMT,5,78
777,CIVIC VX ,2147000,54000,2018,PETROL,LUNAR SILVER,AMT,4,64
778,CIVIC VX ,2027000,70000,2017,DIESEL,PLATINUM WHITE PEARL,MANUAL,2,68
779,CIVIC VX DIESEL,2516000,48000,2019,DIESEL,MODERN STEEL METALLIC,MANUAL,3,59
780,CIVIC VX DIESEL,2547000,35000,2020,DIESEL,GOLDEN BROWN METALLIC,MANUAL,5,57
781,CIVIC VX DIESEL,2417000,63000,2017,DIESEL,RADIANT RED METALLIC,MANUAL,4,52
782,CIVIC VX DIESEL,2577000,23000,2020,DIESEL,LUNAR SILVER,MANUAL,3,58
783,CIVIC VX DIESEL,2457000,53000,2018,PETROL,PLATINUM WHITE PEARL,AMT,5,34
784,CIVIC ZX,2547000,40000,2019,PETROL,MODERN STEEL METALLIC,AMT,3,79
785,CIVIC ZX,2477000,43000,2018,PETROL,GOLDEN BROWN METALLIC,AMT,4,86
786,CIVIC ZX,2427000,49000,2017,PETROL,RADIANT RED METALLIC,AMT,3,49
787,CIVIC ZX,2587000,36000,2020,PETROL,LUNAR SILVER,AMT,5,75
788,CIVIC ZX DIESEL,2677000,44000,2019,DIESEL,PLATINUM WHITE PEARL,MANUAL,2,46
789,CIVIC ZX DIESEL,2547000,63000,2017,DIESEL,MODERN STEEL METALLIC,MANUAL,4,85
790,CIVIC ZX DIESEL,2417000,67000,2016,DIESEL,GOLDEN BROWN METALLIC,MANUAL,5,78
791,CIVIC ZX DIESEL,2725000,37000,2020,DIESEL,RADIANT RED METALLIC,MANUAL,2,75
792,CIVIC ZX DIESEL,2577000,60000,2018,DIESEL,LUNAR SILVER,MANUAL,4,45
793,WR-V SV,877000,40000,2020,PETROL,REDIANT RED METALLIC,MANUAL,5,49
794,WR-V SV,857000,47000,2019,PETROL,WHITE ORCHID PEARL,MANUAL,2,68
795,WR-V SV,617000,70000,2017,PETROL,MODERN STEEL METALLIC,MANUAL,4,65
796,WR-V SV,727000,58000,2018,PETROL,GOLDEN BROWN METALLIC,MANUAL,5,62
797,WR-V SV,577000,77000,2016,PETROL,PREMIUM AMBER,MANUAL,3,56
798,WR-V SV,847000,59000,2019,PETROL,LUNAR SILVER,MANUAL,5,53
799,WR-V EXCLUSIVE EDITION PETROL,1017000,41000,2020,PETROL,REDIANT RED METALLIC,MANUAL,3,96
800,WR-V EXCLUSIVE EDITION PETROL,817000,71000,2017,PETROL,WHITE ORCHID PEARL,MANUAL,4,67
801,WR-V EXCLUSIVE EDITION PETROL,827000,62000,2017,PETROL,MODERN STEEL METALLIC,MANUAL,5,64
802,WR-V EXCLUSIVE EDITION PETROL,927000,60000,2019,PETROL,GOLDEN BROWN METALLIC,MANUAL,1,59
803,WR-V EXCLUSIVE EDITION PETROL,777000,72000,2016,PETROL,PREMIUM AMBER,MANUAL,5,53
804,WR-V EXCLUSIVE EDITION PETROL,847000,66000,2018,PETROL,LUNAR SILVER,MANUAL,2,64
805,WR-V VX,787000,57000,2017,PETROL,REDIANT RED METALLIC,MANUAL,3,52
806,WR-V VX,928000,62000,2018,PETROL,WHITE ORCHID PEARL,MANUAL,4,86
807,WR-V VX,938000,51000,2019,PETROL,MODERN STEEL METALLIC,MANUAL,5,87
808,WR-V VX,747000,76000,2016,PETROL,GOLDEN BROWN METALLIC,MANUAL,2,84
809,WR-V VX,922000,67000,2018,PETROL,PREMIUM AMBER,MANUAL,4,94
810,WR-V VX,1054000,47000,2020,PETROL,LUNAR SILVER,MANUAL,5,76
811,WR-V SV DIESEL,947000,54000,2019,DIESEL,REDIANT RED METALLIC,MANUAL,3,72
812,WR-V SV DIESEL,792000,67000,2017,DIESEL,WHITE ORCHID PEARL,MANUAL,5,71
813,WR-V SV DIESEL,727000,76000,2015,DIESEL,MODERN STEEL METALLIC,MANUAL,3,51
814,WR-V SV DIESEL,1067000,46000,2020,DIESEL,GOLDEN BROWN METALLIC,MANUAL,4,84
815,WR-V SV DIESEL,752000,69000,2016,DIESEL,PREMIUM AMBER,MANUAL,5,76
816,WR-V SV DIESEL,837000,53000,2018,DIESEL,LUNAR SILVER,MANUAL,1,82
817,WR-V EXCLUSIVE EDITION DIESEL,1277000,48000,2019,DIESEL,REDIANT RED METALLIC,MANUAL,5,94
818,WR-V EXCLUSIVE EDITION DIESEL,917000,80000,2015,DIESEL,WHITE ORCHID PEARL,MANUAL,2,76
819,WR-V EXCLUSIVE EDITION DIESEL,1127000,56000,2018,DIESEL,MODERN STEEL METALLIC,MANUAL,3,82
820,WR-V EXCLUSIVE EDITION DIESEL,1017000,67000,2017,DIESEL,GOLDEN BROWN METALLIC,MANUAL,4,83
821,WR-V EXCLUSIVE EDITION DIESEL,1252000,39000,2020,DIESEL,PREMIUM AMBER,MANUAL,5,89
822,WR-V EXCLUSIVE EDITION DIESEL,947000,73000,2016,DIESEL,LUNAR SILVER,MANUAL,5,98
823,WR-V VX DIESEL,1017000,56000,2018,DIESEL,REDIANT RED METALLIC,MANUAL,4,86
824,WR-V VX DIESEL,1127000,48000,2019,DIESEL,WHITE ORCHID PEARL,MANUAL,3,65
825,WR-V VX DIESEL,947000,66000,2017,DIESEL,MODERN STEEL METALLIC,MANUAL,4,57
826,WR-V VX DIESEL,927000,71000,2016,DIESEL,GOLDEN BROWN METALLIC,MANUAL,3,52
827,WR-V VX DIESEL,1177000,27000,2020,DIESEL,PREMIUM AMBER,MANUAL,5,68
828,WR-V VX DIESEL,817000,75000,2015,DIESEL,LUNAR SILVER,MANUAL,2,45
829,JAZZ V,637000,67000,2018,PETROL,REDIANT RED METALLIC,MANUAL,4,71
830,JAZZ V,517000,71000,2016,PETROL,WHITE ORCHID PEARL,MANUAL,5,54
831,JAZZ V,577000,69000,2017,PETROL,LUNAR SILVER METALLIC,MANUAL,2,69
832,JAZZ V,757000,60000,2019,PETROL,MODERN STEEL METALLIC,MANUAL,4,64
833,JAZZ V,847000,40000,2020,PETROL,GOLDEN BROWN METALLIC,MANUAL,5,67
834,JAZZ VX,857000,39000,2020,PETROL,REDIANT RED METALLIC,MANUAL,2,90
835,JAZZ VX,767000,49000,2019,PETROL,WHITE ORCHID PEARL,MANUAL,4,74
836,JAZZ VX,547000,70000,2016,PETROL,LUNAR SILVER METALLIC,MANUAL,5,55
837,JAZZ VX,618000,66000,2017,PETROL,MODERN STEEL METALLIC,MANUAL,3,64
838,JAZZ VX,658000,58000,2018,PETROL,GOLDEN BROWN METALLIC,MANUAL,5,52
839,JAZZ V CVT,927000,59000,2019,PETROL,REDIANT RED METALLIC,AMT,3,68
840,JAZZ V CVT,757000,61000,2017,PETROL,WHITE ORCHID PEARL,AMT,4,45
841,JAZZ V CVT,847000,62000,2018,PETROL,LUNAR SILVER METALLIC,AMT,3,71
842,JAZZ V CVT,952000,33000,2020,PETROL,MODERN STEEL METALLIC,AMT,5,54
843,JAZZ V CVT,717000,75000,2016,PETROL,GOLDEN BROWN METALLIC,AMT,3,69
844,JAZZ ZX,937000,56000,2019,PETROL,REDIANT RED METALLIC,MANUAL,4,64
845,JAZZ ZX,852000,67000,2018,PETROL,WHITE ORCHID PEARL,MANUAL,5,67
846,JAZZ ZX,767000,59000,2017,PETROL,LUNAR SILVER METALLIC,MANUAL,1,54
847,JAZZ ZX,727000,75000,2016,PETROL,MODERN STEEL METALLIC,MANUAL,5,77
848,JAZZ ZX,977000,28000,2020,PETROL,GOLDEN BROWN METALLIC,MANUAL,2,52
849,JAZZ VX CVT,857000,67000,2018,PETROL,REDIANT RED METALLIC,AMT,3,91
850,JAZZ VX CVT,977000,54000,2019,PETROL,WHITE ORCHID PEARL,AMT,4,64
851,JAZZ VX CVT,728000,77000,2016,PETROL,LUNAR SILVER METALLIC,AMT,5,62
852,JAZZ VX CVT,758000,75000,2017,PETROL,MODERN STEEL METALLIC,AMT,2,51
853,JAZZ VX CVT,727000,77000,2020,PETROL,GOLDEN BROWN METALLIC,AMT,4,59
854,JAZZ ZX CVT,817000,78000,2016,PETROL,REDIANT RED METALLIC,AMT,5,58
855,JAZZ ZX CVT,1017000,83000,2019,PETROL,WHITE ORCHID PEARL,AMT,3,90
856,JAZZ ZX CVT,857000,78000,2017,PETROL,LUNAR SILVER METALLIC,AMT,5,74
857,JAZZ ZX CVT,1077000,41000,2020,PETROL,MODERN STEEL METALLIC,AMT,3,55
858,JAZZ ZX CVT,947000,64000,2018,PETROL,GOLDEN BROWN METALLIC,AMT,4,64
859,CR-V 2.0 CVT,3417000,49000,2020,PETROL,REDIANT RED METALLIC,AMT,5,52
860,CR-V 2.0 CVT,3247000,71000,2017,PETROL,WHITE ORCHID PEARL,AMT,1,68
861,CR-V 2.0 CVT,3377000,60000,2019,PETROL,MODERN STEEL METALLIC,AMT,5,52
862,CR-V 2.0 CVT,3317000,67000,2018,PETROL,GOLDEN BROWN METALLIC,AMT,2,91
863,CR-V 2.0 CVT,3117000,76000,2016,PETROL,RADIANT RED METALLIC,AMT,3,64
864,CR-V 2.0 CVT,3427000,47000,2020,PETROL,LUNAR SILVER,AMT,4,62
865,CR-V SPECIAL EDITION,3267000,79000,2016,PETROL,REDIANT RED METALLIC,AMT,5,51
866,CR-V SPECIAL EDITION,3357000,56000,2018,PETROL,WHITE ORCHID PEARL,AMT,5,59
867,CR-V SPECIAL EDITION,3277000,71000,2017,PETROL,MODERN STEEL METALLIC,AMT,4,86
868,CR-V SPECIAL EDITION,3558000,40000,2020,PETROL,GOLDEN BROWN METALLIC,AMT,3,72
869,CR-V SPECIAL EDITION,3227000,61000,2018,PETROL,RADIANT RED METALLIC,AMT,2,58
870,CR-V SPECIAL EDITION,3457000,58000,2019,PETROL,LUNAR SILVER,AMT,5,90
871,CITY SV MT,753000,75000,2015,PETROL,REDIANT RED METALLIC,MANUAL,4,74
872,CITY SV MT,918000,28000,2020,PETROL,WHITE ORCHID PEARL,MANUAL,2,55
873,CITY SV MT,911000,68000,2018,PETROL,MODERN STEEL METALLIC,MANUAL,3,47
874,CITY SV MT,818000,72000,2016,PETROL,GOLDEN BROWN METALLIC,MANUAL,5,65
875,CITY SV MT,857000,52000,2017,PETROL,LUNAR SILVER,MANUAL,4,42
876,CITY V MT,958000,70000,2018,PETROL,REDIANT RED METALLIC,MANUAL,3,86
877,CITY V MT,1023000,29000,2019,PETROL,WHITE ORCHID PEARL,MANUAL,5,94
878,CITY V MT,1038000,31000,2020,PETROL,MODERN STEEL METALLIC,MANUAL,3,75
879,CITY V MT,838000,68000,2015,PETROL,GOLDEN BROWN METALLIC,MANUAL,4,66
880,CITY V MT,938000,55000,2017,PETROL,LUNAR SILVER,MANUAL,3,53
881,CITY V MT,928000,70000,2016,PETROL,PLATINUM WHITE PEARL,MANUAL,5,64
882,CITY V MT,1048000,65000,2017,PETROL,REDIANT RED METALLIC,MANUAL,2,58
883,CITY V MT,1193000,24000,2020,PETROL,LUNAR SILVER METALLIC,MANUAL,4,64
884,CITY V MT,958000,54000,2015,PETROL,MODERN STEEL METALLIC,MANUAL,5,57
885,CITY V MT,1128000,48000,2019,PETROL,GOLDEN BROWN METALLIC,MANUAL,2,59
886,CITY V CVT,1228000,68000,2016,PETROL,PLATINUM WHITE PEARL,AMT,4,46
887,CITY V CVT,1378000,28000,2020,PETROL,REDIANT RED METALLIC,AMT,5,58
888,CITY V CVT,1331000,39000,2020,PETROL,LUNAR SILVER METALLIC,AMT,2,76
